t,edge_id,vertex1,vertex2,length,average_width,intensity,betweenness_centrality
500.0,183.0,461.0,460.0,2.0,1.1380711874576983,79.0,0.0
500.0,184.0,463.0,320.0,46.0,1.5654949280337909,93.25531914893617,0.0
500.0,185.0,465.0,474.0,5.0,1.235702260395516,90.0,0.0
500.0,186.0,469.0,484.0,7.0,1.4857936896715844,105.875,0.0
500.0,187.0,470.0,494.0,32.0,1.100415409060144,98.63636363636364,0.0
500.0,188.0,476.0,503.0,6.0,1.1183467321065983,86.28571428571429,0.0
500.0,189.0,477.0,537.0,13.0,1.3918058124456123,100.0,0.0
500.0,190.0,479.0,441.0,10.0,1.2259346703853249,95.54545454545456,0.0
500.0,191.0,483.0,531.0,11.0,1.117851130197758,83.0,0.0
500.0,192.0,487.0,541.0,13.0,1.0591733660532994,83.5,0.0
500.0,193.0,489.0,482.0,3.0,1.1035533905932735,89.0,0.0
500.0,194.0,491.0,523.0,7.0,1.4562851924841107,95.5,0.0
500.0,195.0,497.0,492.0,2.0,1.1380711874576983,88.0,0.0
500.0,196.0,498.0,507.0,2.0,1.1380711874576983,86.0,0.0
500.0,197.0,501.0,535.0,7.0,1.3312851924841107,106.125,0.0
500.0,198.0,505.0,568.0,15.0,1.39904851942814,87.625,0.0
500.0,199.0,508.0,507.0,2.0,1.1380711874576983,89.66666666666667,0.0
500.0,200.0,515.0,570.0,13.0,1.3918058124456123,85.42857142857143,0.0
500.0,201.0,517.0,593.0,20.0,1.1972445535109977,84.42857142857143,0.0
500.0,202.0,529.0,541.0,6.0,1.177520098159898,90.57142857142856,0.0
500.0,203.0,532.0,518.0,9.0,1.1414213562373097,94.7,0.0
500.0,204.0,533.0,521.0,3.0,1.1035533905932735,107.25,0.0
500.0,205.0,534.0,528.0,4.0,1.612899020449196,113.2,0.0
500.0,206.0,536.0,543.0,3.0,1.6035533905932735,94.0,0.0
500.0,207.0,540.0,551.0,3.0,1.25,91.5,0.0
500.0,208.0,544.0,578.0,9.0,1.165685424949238,86.7,0.0
500.0,209.0,546.0,680.0,34.0,1.9230610225532931,111.2,0.0
500.0,210.0,547.0,555.0,5.0,1.372677996249965,107.0,0.0
500.0,211.0,558.0,539.0,6.0,1.1428571428571428,91.14285714285714,0.0
500.0,212.0,560.0,581.0,6.0,1.0591733660532994,85.14285714285714,0.0
500.0,213.0,561.0,570.0,5.0,1.0690355937288492,86.5,0.0
500.0,214.0,562.0,586.0,9.0,2.047213595499958,120.8,0.0
500.0,215.0,564.0,575.0,2.0,1.1380711874576983,90.0,0.0
500.0,216.0,566.0,565.0,3.0,1.0,93.75,0.0
500.0,217.0,571.0,587.0,8.0,1.4063171388324869,91.44444444444444,0.0
500.0,218.0,579.0,575.0,2.0,1.1380711874576983,88.0,0.0
500.0,219.0,582.0,556.0,7.0,1.1035533905932735,97.0,0.0
500.0,220.0,585.0,581.0,2.0,1.1380711874576983,89.33333333333333,0.0
500.0,221.0,588.0,589.0,11.0,1.0345177968644246,91.5,0.0
500.0,222.0,591.0,556.0,11.0,1.1380711874576983,98.0,0.0
500.0,223.0,592.0,603.0,6.0,1.1428571428571428,85.85714285714286,0.0
500.0,224.0,604.0,690.0,19.0,1.4985281374238573,105.85,0.0
500.0,225.0,607.0,598.0,6.0,1.1428571428571428,88.71428571428571,0.0
500.0,226.0,610.0,685.0,16.0,3.397967297666842,172.1764705882353,0.0
500.0,227.0,613.0,670.0,12.0,1.249433899009176,94.6153846153846,0.0
500.0,228.0,622.0,617.0,5.0,3.335284429737006,209.83333333333337,0.0
500.0,229.0,623.0,611.0,11.0,4.507312016576152,199.33333333333337,0.0
500.0,230.0,625.0,638.0,6.0,1.0591733660532994,76.42857142857143,0.0
500.0,231.0,626.0,630.0,9.0,1.6828427124746193,96.6,0.0
500.0,232.0,631.0,647.0,4.0,1.082842712474619,86.8,0.0
500.0,233.0,632.0,612.0,5.0,1.304737854124365,96.16666666666669,0.0
500.0,234.0,635.0,697.0,11.0,3.305820720195262,164.33333333333334,0.0
500.0,235.0,640.0,639.0,3.0,1.1035533905932735,95.75,0.0
500.0,236.0,643.0,655.0,4.0,1.482842712474619,98.0,0.0
500.0,237.0,644.0,708.0,11.0,1.137523461656074,96.25,0.0
500.0,238.0,645.0,666.0,3.0,1.1035533905932735,91.25,0.0
500.0,239.0,646.0,677.0,5.0,1.1666666666666667,91.33333333333331,0.0
500.0,240.0,648.0,627.0,5.0,4.551189298227544,228.0,0.0
500.0,241.0,654.0,642.0,2.0,1.0,85.66666666666667,0.0
500.0,242.0,657.0,639.0,3.0,1.1035533905932735,94.0,0.0
500.0,243.0,660.0,647.0,3.0,1.3106601717798212,98.0,0.0
500.0,244.0,661.0,601.0,17.0,1.4293290034087698,97.11111111111111,0.0
500.0,245.0,667.0,659.0,4.0,1.2,98.2,0.0
500.0,246.0,674.0,669.0,2.0,1.1380711874576983,85.66666666666667,0.0
500.0,247.0,676.0,658.0,3.0,1.4125703849682212,115.25,0.0
500.0,248.0,678.0,653.0,4.0,1.082842712474619,92.8,0.0
