t,y,x,vertex_id,is_tip,origin,vertex_connected
500,733,1004,1563,1,0,0
500,733,1215,1565,1,0,0
500,734,562,1568,1,0,0
500,734,999,1569,1,0,0
500,735,299,1570,1,0,0
500,735,318,1572,1,0,0
500,735,383,1573,1,0,0
500,735,904,1575,1,0,0
500,735,1158,1577,1,0,0
500,737,460,1580,1,0,0
500,738,462,1582,1,0,0
500,740,194,1586,1,0,0
500,740,228,1587,1,0,0
500,740,931,1591,1,0,0
500,740,1058,1593,1,0,0
500,741,262,1596,1,0,0
500,741,994,1598,1,0,0
500,742,234,1601,1,0,0
500,742,558,1604,1,0,0
500,742,572,1605,1,0,0
500,743,1067,1608,1,0,0
500,744,1094,1611,1,0,0
500,745,260,1612,1,0,0
500,745,892,1613,1,0,0
500,746,206,1615,1,0,0
500,748,250,1623,1,0,0
500,748,306,1624,1,0,0
500,748,536,1627,1,0,0
500,751,501,1637,1,0,0
500,752,1107,1646,1,0,0
500,752,1151,1647,1,0,0
500,753,296,1650,1,0,0
500,753,1044,1655,1,0,0
500,757,392,1666,1,0,0
500,757,1189,1668,1,0,0
500,758,307,1669,1,0,0
500,758,911,1672,1,0,0
500,759,1215,1676,1,0,0
500,762,239,1686,1,0,0
500,762,434,1687,1,0,0
500,762,1037,1689,1,0,0
500,764,296,1692,1,0,0
500,765,1056,1694,1,0,0
500,767,383,1700,1,0,0
500,768,1111,1706,1,0,0
500,769,416,1708,1,0,0
500,769,552,1710,1,0,0
500,769,921,1712,1,0,0
500,770,385,1718,1,0,0
500,770,528,1719,1,0,0
500,770,1151,1722,1,0,0
500,771,440,1726,1,0,0
500,771,574,1728,1,0,0
500,771,1045,1730,1,0,0
500,772,194,1732,1,0,0
500,772,587,1733,1,0,0
500,772,880,1734,1,0,0
500,773,317,1736,1,0,0
500,773,864,1738,1,0,0
500,774,198,1741,1,0,0
500,774,949,1742,1,0,0
500,774,1211,1744,1,0,0
500,777,160,1750,1,0,0
500,777,590,1753,1,0,0
500,777,934,1755,1,0,0
500,778,1056,1762,1,0,0
500,779,205,1763,1,0,0
500,779,964,1766,1,0,0
500,780,384,1771,1,0,0
500,780,919,1773,1,0,0
500,780,977,1774,1,0,0
500,781,537,1777,1,0,0
500,781,564,1779,1,0,0
500,781,901,1781,1,0,0
500,782,199,1783,1,0,0
500,782,1196,1789,1,0,0
500,783,580,1790,1,0,0
500,784,458,1794,1,0,0
500,784,463,1795,1,0,0
500,784,584,1796,1,0,0
500,786,201,1802,1,0,0
500,786,879,1803,1,0,0
500,787,428,1806,1,0,0
500,791,990,1819,1,0,0
500,792,160,1820,1,0,0
500,792,195,1821,1,0,0
500,792,319,1823,1,0,0
500,794,325,1827,1,0,0
500,795,257,1833,1,0,0
500,796,310,1834,1,0,0
500,796,1103,1838,1,0,0
500,796,1168,1839,1,0,0
500,797,510,1843,1,0,0
500,798,286,1846,1,0,0
500,798,968,1850,1,0,0
500,799,1120,1854,1,0,0
500,800,375,1855,1,0,0
500,800,532,1857,1,0,0
500,801,945,1865,1,0,0
500,801,1039,1866,1,0,0
500,801,1110,1867,1,0,0
500,802,145,1869,1,0,0
500,803,599,1873,1,0,0
500,805,929,1884,1,0,0
500,806,522,1886,1,0,0
500,806,896,1887,1,0,0
500,806,909,1888,1,0,0
500,806,998,1889,1,0,0
500,809,270,1896,1,0,0
500,809,576,1897,1,0,0
500,809,872,1898,1,0,0
500,809,1023,1899,1,0,0
500,810,251,1903,1,0,0
500,810,345,1904,1,0,0
500,812,152,1908,1,0,0
500,812,851,1911,1,0,0
500,815,480,1920,1,0,0
500,815,1050,1924,1,0,0
500,815,1162,1925,1,0,0
500,816,1047,1932,1,0,0
500,817,238,1934,1,0,0
500,818,356,1937,1,0,0
500,819,199,1940,1,0,0
500,821,873,1945,1,0,0
500,821,908,1946,1,0,0
500,822,312,1949,1,0,0
500,822,883,1951,1,0,0
500,824,636,1959,1,0,0
500,825,302,1962,1,0,0
500,826,1032,1975,1,0,0
500,826,1034,1976,1,0,0
500,827,187,1977,1,0,0
500,827,207,1978,1,0,0
500,827,343,1979,1,0,0
500,828,987,1988,1,0,0
500,829,368,1990,1,0,0
500,829,1169,1993,1,0,0
500,830,1227,2002,1,0,0
500,831,581,2004,1,0,0
500,831,1116,2006,1,0,0
